year_film,year_ceremony,ceremony,category,name,film,winner
1959,1960,32,SHORT SUBJECT (Live Action),"Shirley Clarke, Willard Van Dyke and Irving Jacoby, Producers",Skyscraper,0
1959,1960,32,SOUND,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",Ben-Hur,1
1959,1960,32,SPECIAL EFFECTS,"Visual Effects by A. Arnold Gillespie, Robert MacDonald; Audible Effects by Milo Lory",Ben-Hur,1
1959,1960,32,WRITING (Screenplay--based on material from another medium),Robert Anderson,The Nun's Story,0
1959,1960,32,WRITING (Story and Screenplay--written directly for the screen),"Story by Paul King, Joseph Stone;  Screenplay by Stanley Shapiro, Maurice Richlin",Operation Petticoat,0
1959,1960,32,WRITING (Story and Screenplay--written directly for the screen),"Story by Russell Rouse, Clarence Greene;  Screenplay by Stanley Shapiro, Maurice Richlin",Pillow Talk,1
1959,1960,32,JEAN HERSHOLT HUMANITARIAN AWARD,Bob Hope,,1
1959,1960,32,HONORARY AWARD, Lee De Forest for his pioneering inventions which brought sound to the motion picture.,,1
1960,1961,33,ACTOR,Trevor Howard,Sons and Lovers,0
1960,1961,33,ACTOR IN A SUPPORTING ROLE,Peter Falk,"Murder, Inc.",0
1960,1961,33,ACTOR IN A SUPPORTING ROLE,Peter Ustinov,Spartacus,1
1960,1961,33,ACTRESS,Melina Mercouri,Never on Sunday,0
1960,1961,33,ART DIRECTION (Black-and-White),"Art Direction:  Joseph Hurley, Robert Clatworthy;  Set Decoration:  George Milo",Psycho,0
1960,1961,33,ART DIRECTION (Color),"Art Direction:  Hal Pereira, Roland Anderson;  Set Decoration:  Sam Comer, Arrigo Breschi",It Started in Naples,0
1960,1961,33,ART DIRECTION (Color),Art Direction:  Edward Carrere;  Set Decoration:  George James Hopkins,Sunrise at Campobello,0
1960,1961,33,CINEMATOGRAPHY (Black-and-White),Freddie Francis,Sons and Lovers,1
1960,1961,33,COSTUME DESIGN (Black-and-White),"Edith Head, Edward Stevenson",The Facts of Life,1
1960,1961,33,COSTUME DESIGN (Black-and-White),Howard Shoup,The Rise and Fall of Legs Diamond,0
1960,1961,33,DOCUMENTARY (Feature),"Robert D. Fraser, Producer",Rebel in Paradise,0
1960,1961,33,FILM EDITING,Robert Lawrence,Spartacus,0
1960,1961,33,MUSIC (Song),Music by Dimitri Tiomkin; Lyrics by Paul Francis Webster,The Alamo,0
1960,1961,33,SOUND,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",Cimarron,0
1960,1961,33,SPECIAL EFFECTS,"Visual Effects by Gene Warren, Tim Baar",The Time Machine,1
1960,1961,33,WRITING (Screenplay--based on material from another medium),"Gavin Lambert, T. E. B. Clarke",Sons and Lovers,0
1960,1961,33,WRITING (Story and Screenplay--written directly for the screen),"Norman Panama, Melvin Frank",The Facts of Life,0
1961,1962,34,ACTOR IN A SUPPORTING ROLE,Peter Falk,Pocketful of Miracles,0
1961,1962,34,ART DIRECTION (Black-and-White),Art Direction:  Harry Horner;  Set Decoration:  Gene Callahan,The Hustler,1
1961,1962,34,ART DIRECTION (Color),"Art Direction:  Hal Pereira, Roland Anderson;  Set Decoration:  Sam Comer, Ray Moyer",Breakfast at Tiffany's,0
1961,1962,34,ART DIRECTION (Color),"Art Direction:  Alexander Golitzen, Joseph Wright;  Set Decoration:  Howard Bristol",Flower Drum Song,0
1961,1962,34,COSTUME DESIGN (Black-and-White),Howard Shoup,Claudelle Inglish,0
1961,1962,34,DIRECTING,J. Lee Thompson,The Guns of Navarone,0
1961,1962,34,DIRECTING,Robert Rossen,The Hustler,0
1961,1962,34,DIRECTING,Stanley Kramer,Judgment at Nuremberg,0
1961,1962,34,DIRECTING,"Robert Wise, Jerome Robbins",West Side Story,1
1961,1962,34,DOCUMENTARY (Short Subject),"Jim O'Connor and Tom Hayes, Producers",Cradle of Genius,0
1961,1962,34,DOCUMENTARY (Short Subject),"Frank P. Bibas, Producer",Project Hope,1
1961,1962,34,FILM EDITING,Philip W. Anderson,The Parent Trap,0
1961,1962,34,MUSIC (Song),Music by Henry Mancini; Lyrics by Mack David,Bachelor in Paradise,0
1961,1962,34,MUSIC (Song),Music by Miklos Rozsa; Lyrics by Paul Francis Webster,El Cid,0
1961,1962,34,BEST MOTION PICTURE,"Robert Rossen, Producer",The Hustler,0
1961,1962,34,BEST MOTION PICTURE,"Stanley Kramer, Producer",Judgment at Nuremberg,0
1961,1962,34,BEST MOTION PICTURE,"Robert Wise, Producer",West Side Story,1
1961,1962,34,SHORT SUBJECT (Live Action),"Robert Gaffney, Producer",Rooftops of New York,0
1961,1962,34,SOUND,"Walt Disney Studio Sound Department, Robert O. Cook, Sound Director",The Parent Trap,0
1961,1962,34,SPECIAL EFFECTS,"Visual Effects by Robert A. Mattey, Eustace Lycett",The Absent Minded Professor,0
1961,1962,34,WRITING (Screenplay--based on material from another medium),"Sidney Carroll, Robert Rossen",The Hustler,0
1961,1962,34,WRITING (Story and Screenplay--written directly for the screen),"Stanley Shapiro, Paul Henning",Lover Come Back,0
1961,1962,34,HONORARY AWARD, Jerome Robbins for his brilliant achievements in the art of choreography on film.,,1
1961,1962,34,IRVING G. THALBERG MEMORIAL AWARD,Stanley Kramer,,1
1962,1963,35,ACTOR,Peter O'Toole,Lawrence of Arabia,0
1962,1963,35,ACTRESS,Lee Remick,Days of Wine and Roses,0
1962,1963,35,ART DIRECTION (Black-and-White),Art Direction:  Joseph Wright;  Set Decoration:  George James Hopkins,Days of Wine and Roses,0
1962,1963,35,ART DIRECTION (Black-and-White),"Art Direction:  Hal Pereira, Roland Anderson;  Set Decoration:  Sam Comer, Frank R. McKelvy",The Pigeon That Took Rome,0
1962,1963,35,ART DIRECTION (Color),Art Direction:  Paul Groesse;  Set Decoration:  George James Hopkins,Meredith Willson's The Music Man,0
1962,1963,35,ART DIRECTION (Color),"Art Direction:  Alexander Golitzen, Robert Clatworthy;  Set Decoration:  George Milo",That Touch of Mink,0
1962,1963,35,CINEMATOGRAPHY (Color),Robert L. Surtees,Mutiny on the Bounty,0
1962,1963,35,DIRECTING,Frank Perry,David and Lisa,0
1962,1963,35,DIRECTING,David Lean,Lawrence of Arabia,1
1962,1963,35,DIRECTING,Robert Mulligan,To Kill a Mockingbird,0
1962,1963,35,DOCUMENTARY (Short Subject),"Jack Howells, Producer",Dylan Thomas,1
1962,1963,35,DOCUMENTARY (Short Subject),"Robert Saudek, Producer",The Road to the Wall,0
1962,1963,35,MUSIC (Scoring of Music--adaptation or treatment),Michel Magne,Gigot,0
1962,1963,35,MUSIC (Scoring of Music--adaptation or treatment),Frank Perkins,Gypsy,0
1962,1963,35,MUSIC (Song),Music by Bronislau Kaper; Lyrics by Paul Francis Webster,Mutiny on the Bounty,0
1962,1963,35,MUSIC (Song),Music by Sammy Fain; Lyrics by Paul Francis Webster,Tender Is the Night,0
1962,1963,35,MUSIC (Song),Music by Elmer Bernstein; Lyrics by Mack David,Walk on the Wild Side,0
1962,1963,35,SHORT SUBJECT (Live Action),"Martina Huguenot van der Linden and Charles Huguenot van der Linden, Producers",Big City Blues,0
1962,1963,35,SHORT SUBJECT (Live Action),"Robert Clouse, Producer",The Cadillac,0
1962,1963,35,SHORT SUBJECT (Live Action),"Hayward Anderson, Producer",The Cliff Dwellers (formerly titled 'One Plus One'),0
1962,1963,35,SHORT SUBJECT (Live Action),"Herman van der Horst, Producer",Pan,0
1962,1963,35,SOUND,"Walt Disney Studio Sound Department, Robert O. Cook, Sound Director",Bon Voyage!,0
1962,1963,35,SPECIAL EFFECTS,Visual Effects by Robert MacDonald; Audible Effects by Jacques Maumont,The Longest Day,1
1962,1963,35,WRITING (Screenplay--based on material from another medium),"Robert Bolt, Michael Wilson",Lawrence of Arabia,0
1962,1963,35,WRITING (Screenplay--based on material from another medium),William Gibson,The Miracle Worker,0
1962,1963,35,WRITING (Screenplay--based on material from another medium),Horton Foote,To Kill a Mockingbird,1
1962,1963,35,WRITING (Story and Screenplay--written directly for the screen),Alain Robbe-Grillet,Last Year at Marienbad,0
1962,1963,35,WRITING (Story and Screenplay--written directly for the screen),"Stanley Shapiro, Nate Monaster",That Touch of Mink,0
1963,1964,36,ACTOR IN A SUPPORTING ROLE,Bobby Darin,"Captain Newman, M.D.",0
1963,1964,36,ACTOR IN A SUPPORTING ROLE,Melvyn Douglas,Hud,1
1963,1964,36,ACTRESS,Rachel Roberts,This Sporting Life,0
1963,1964,36,ART DIRECTION (Black-and-White),"Art Direction:  Hal Pereira, Tambi Larsen;  Set Decoration:  Sam Comer, Robert Benton",Hud,0
1963,1964,36,ART DIRECTION (Black-and-White),"Art Direction:  Hal Pereira, Roland Anderson;  Set Decoration:  Sam Comer, Grace Gregory",Love with the Proper Stranger,0
1963,1964,36,ART DIRECTION (Color),"Art Direction:  John DeCuir, Jack Martin Smith, Hilyard Brown, Herman Blumenthal, Elven Webb, Maurice Pelling, Boris Juraga;  Set Decoration:  Walter M. Scott, Paul S. Fox, Ray Moyer",Cleopatra,1
1963,1964,36,ART DIRECTION (Color),"Art Direction:  Hal Pereira, Roland Anderson;  Set Decoration:  Sam Comer, James Payne",Come Blow Your Horn,0
1963,1964,36,CINEMATOGRAPHY (Black-and-White),James Wong Howe,Hud,1
1963,1964,36,DIRECTING,Martin Ritt,Hud,0
1963,1964,36,DOCUMENTARY (Feature),"Robert Hughes, Producer",Robert Frost: A Lover's Quarrel with the World,1
1963,1964,36,DOCUMENTARY (Short Subject),"George Stevens, Jr., Producer",The Five Cities of June,0
1963,1964,36,DOCUMENTARY (Short Subject),"Mel London, Producer",To Live Again,0
1963,1964,36,FILM EDITING,"Frederic Knudtson, Robert C. Jones, Gene Fowler, Jr.","It's a Mad, Mad, Mad, Mad World",0
1963,1964,36,MUSIC (Scoring of Music--adaptation or treatment),Leith Stevens,A New Kind of Love,0
1963,1964,36,MUSIC (Song),Music by Ernest Gold; Lyrics by Mack David,"It's a Mad, Mad, Mad, Mad World",0
1963,1964,36,MUSIC (Song),Music by Dimitri Tiomkin; Lyrics by Paul Francis Webster,55 Days at Peking,0
1963,1964,36,SHORT SUBJECT (Live Action),"Christopher Miles, Producer",Six-Sided Triangle,0
1963,1964,36,SOUND,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",How the West Was Won,1
1963,1964,36,SOUND EFFECTS,Robert L. Bratton,A Gathering of Eagles,0
1963,1964,36,WRITING (Screenplay--based on material from another medium),"Irving Ravetch, Harriet Frank, Jr.",Hud,0
1964,1965,37,ACTOR,Peter O'Toole,Becket,0
1964,1965,37,ACTOR,Peter Sellers,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0
1964,1965,37,ACTOR IN A SUPPORTING ROLE,Stanley Holloway,My Fair Lady,0
1964,1965,37,ACTOR IN A SUPPORTING ROLE,Lee Tracy,The Best Man,0
1964,1965,37,ACTOR IN A SUPPORTING ROLE,Peter Ustinov,Topkapi,1
1964,1965,37,ACTRESS,Julie Andrews,Mary Poppins,1
1964,1965,37,ACTRESS,Kim Stanley,Seance on a Wet Afternoon,0
1964,1965,37,ART DIRECTION (Black-and-White),"Art Direction:  George W. Davis, Hans Peters, Elliot Scott;  Set Decoration:  Henry Grace, Robert R. Benton",The Americanization of Emily,0
1964,1965,37,ART DIRECTION (Color),"Art Direction:  John Bryan, Maurice Carter;  Set Decoration:  Patrick McLoughlin, Robert Cartwright",Becket,0
1964,1965,37,ART DIRECTION (Color),"Art Direction:  Gene Allen, Cecil Beaton;  Set Decoration:  George James Hopkins",My Fair Lady,1
1964,1965,37,ART DIRECTION (Color),"Art Direction:  Jack Martin Smith, Ted Haworth;  Set Decoration:  Walter M. Scott, Stuart A. Reiss",What a Way to Go!,0
1964,1965,37,COSTUME DESIGN (Black-and-White),Howard Shoup,Kisses for My President,0
1964,1965,37,DIRECTING,Peter Glenville,Becket,0
1964,1965,37,DIRECTING,Stanley Kubrick,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0
1964,1965,37,DIRECTING,Robert Stevenson,Mary Poppins,0
1964,1965,37,DOCUMENTARY (Feature),"Mel Stuart, Producer",Four Days in November,0
1964,1965,37,MUSIC (Music Score--substantially original),Frank DeVol,"Hush...Hush, Sweet Charlotte",0
1964,1965,37,MUSIC (Music Score--substantially original),"Richard M. Sherman, Robert B. Sherman",Mary Poppins,1
1964,1965,37,MUSIC (Scoring of Music--adaptation or treatment),George Martin,A Hard Day's Night,0
1964,1965,37,MUSIC (Scoring of Music--adaptation or treatment),"Robert Armbruster, Leo Arnaud, Jack Elliott, Jack Hayes, Calvin Jackson, Leo Shuken",The Unsinkable Molly Brown,0
1964,1965,37,MUSIC (Song),Music and Lyrics by Richard M. Sherman and Robert B. Sherman,Mary Poppins,1
1964,1965,37,MUSIC (Song),Music by Frank DeVol; Lyrics by Mack David,"Hush...Hush, Sweet Charlotte",0
1964,1965,37,BEST PICTURE,"Stanley Kubrick, Producer",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0
1964,1965,37,SHORT SUBJECT (Cartoon),"David H. DePatie and Friz Freleng, Producers",The Pink Phink,1
1964,1965,37,SHORT SUBJECT (Live Action),"Carson Davidson, Producer",Help! My Snowman's Burning Down,0
1964,1965,37,SHORT SUBJECT (Live Action),"Robert Clouse, Producer",The Legend of Jimmy Blue Eyes,0
1964,1965,37,SOUND,"Walt Disney Studio Sound Department, Robert O. Cook, Sound Director",Mary Poppins,0
1964,1965,37,SOUND,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",The Unsinkable Molly Brown,0
1964,1965,37,SOUND EFFECTS,Robert L. Bratton,The Lively Set,0
1964,1965,37,SPECIAL VISUAL EFFECTS,"Peter Ellenshaw, Eustace Lycett, Hamilton Luske",Mary Poppins,1
1964,1965,37,WRITING (Screenplay--based on material from another medium),"Stanley Kubrick, Peter George, Terry Southern",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0
1964,1965,37,WRITING (Story and Screenplay--written directly for the screen),"Story by S. H. Barnett;  Screenplay by Peter Stone, Frank Tarloff",Father Goose,1
1965,1966,38,ACTOR,Lee Marvin,Cat Ballou,1
1965,1966,38,ACTOR IN A SUPPORTING ROLE,Martin Balsam,A Thousand Clowns,1
1965,1966,38,ACTOR IN A SUPPORTING ROLE,Frank Finlay,Othello,0
1965,1966,38,ACTRESS,Julie Andrews,The Sound of Music,0
1965,1966,38,ART DIRECTION (Black-and-White),Art Direction:  Robert Emmet Smith;  Set Decoration:  Frank Tuttle,King Rat,0
1965,1966,38,ART DIRECTION (Black-and-White),Art Direction:  Robert Clatworthy;  Set Decoration:  Joseph Kish,Ship of Fools,1
1965,1966,38,ART DIRECTION (Black-and-White),"Art Direction:  Hal Pereira, Jack Poplin;  Set Decoration:  Robert Benton, Joseph Kish",The Slender Thread,0
1965,1966,38,ART DIRECTION (Color),"Art Direction:  John DeCuir, Jack Martin Smith;  Set Decoration:  Dario Simoni",The Agony and the Ecstasy,0
1965,1966,38,ART DIRECTION (Color),"Art Direction:  Richard Day, William Creber, David Hall;  Set Decoration:  Ray Moyer, Fred MacLean, Norman Rockett",The Greatest Story Ever Told,0
1965,1966,38,ART DIRECTION (Color),Art Direction:  Robert Clatworthy;  Set Decoration:  George James Hopkins,Inside Daisy Clover,0
1965,1966,38,CINEMATOGRAPHY (Black-and-White),Robert Burks,A Patch of Blue,0
1965,1966,38,CINEMATOGRAPHY (Color),"William C. Mellor, Loyal Griggs",The Greatest Story Ever Told,0
1965,1966,38,COSTUME DESIGN (Black-and-White),Howard Shoup,A Rage to Live,0
1965,1966,38,DIRECTING,David Lean,Doctor Zhivago,0
1965,1966,38,DIRECTING,Robert Wise,The Sound of Music,1
1965,1966,38,DOCUMENTARY (Feature),"Peter Mills, Producer",The Forth Road Bridge,0
1965,1966,38,DOCUMENTARY (Short Subject),"Francis Thompson, Producer",To Be Alive!,1
1965,1966,38,MUSIC (Music Score--substantially original),"Michel Legrand, Jacques Demy",The Umbrellas of Cherbourg,0
1965,1966,38,MUSIC (Scoring of Music--adaptation or treatment),Michel Legrand,The Umbrellas of Cherbourg,0
1965,1966,38,MUSIC (Song),Music by Jerry Livingston; Lyrics by Mack David,Cat Ballou,0
1965,1966,38,MUSIC (Song),Music by Michel Legrand; Lyrics by Jacques Demy; English Lyrics by Norman Gimbel,The Umbrellas of Cherbourg,0
1965,1966,38,MUSIC (Song),Music by Johnny Mandel; Lyrics by Paul Francis Webster,The Sandpiper,1
1965,1966,38,MUSIC (Song),Music by Burt Bacharach; Lyrics by Hal David,What's New Pussycat?,0
1965,1966,38,BEST PICTURE,"Stanley Kramer, Producer",Ship of Fools,0
1965,1966,38,BEST PICTURE,"Robert Wise, Producer",The Sound of Music,1
1965,1966,38,SOUND,"Metro-Goldwyn-Mayer British Studio Sound Department, A. W. Watkins, Sound Director; and Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",Doctor Zhivago,0
1965,1966,38,WRITING (Screenplay--based on material from another medium),"Walter Newman, Frank R. Pierson",Cat Ballou,0
1965,1966,38,WRITING (Screenplay--based on material from another medium),"Stanley Mann, John Kohn",The Collector,0
1965,1966,38,WRITING (Screenplay--based on material from another medium),Robert Bolt,Doctor Zhivago,1
1965,1966,38,WRITING (Story and Screenplay--written directly for the screen),"Franklin Coen, Frank Davis",The Train,0
1965,1966,38,HONORARY AWARD, Bob Hope for unique and distinguished service to our industry and the Academy.,,1
1966,1967,39,ACTOR IN A SUPPORTING ROLE,Robert Shaw,A Man for All Seasons,0
1966,1967,39,ART DIRECTION (Black-and-White),Art Direction:  Robert Luthardt;  Set Decoration:  Edward G. Boyle,The Fortune Cookie,0
1966,1967,39,ART DIRECTION (Black-and-White),"Art Direction:  Willy Holt;  Set Decoration:  Marc Frederix, Pierre Guffroy",Is Paris Burning?,0
1966,1967,39,ART DIRECTION (Black-and-White),Art Direction:  Richard Sylbert;  Set Decoration:  George James Hopkins,Who's Afraid of Virginia Woolf?,1
1966,1967,39,ART DIRECTION (Color),"Art Direction:  Jack Martin Smith, Dale Hennesy;  Set Decoration:  Walter M. Scott, Stuart A. Reiss",Fantastic Voyage,1
1966,1967,39,ART DIRECTION (Color),"Art Direction:  Hal Pereira, Arthur Lonergan;  Set Decoration:  Robert Benton, James Payne",The Oscar,0
1966,1967,39,CINEMATOGRAPHY (Black-and-White),James Wong Howe,Seconds,0
1966,1967,39,DIRECTING,Michelangelo Antonioni,Blow-Up,0
1966,1967,39,DOCUMENTARY (Feature),"Peter Jones and Tom Daly, Producers",Helicopter Canada,0
1966,1967,39,DOCUMENTARY (Feature),"Peter Watkins, Producer",The War Game,1
1966,1967,39,DOCUMENTARY (Short Subject),"Lee R. Bobker and Helen Kristt Radin, Producers",The Odds Against,0
1966,1967,39,FILM EDITING,"Fredric Steinkamp, Henry Berman, Stewart Linder, Frank Santillo",Grand Prix,1
1966,1967,39,MUSIC (Song),Music by Burt Bacharach; Lyrics by Hal David,Alfie,0
1966,1967,39,MUSIC (Song),Music by Elmer Bernstein; Lyrics by Mack David,Hawaii,0
1966,1967,39,MUSIC (Song),Music by Johnny Mandel; Lyrics by Paul Francis Webster,An American Dream,0
1966,1967,39,BEST PICTURE,"Robert Wise, Producer",The Sand Pebbles,0
1966,1967,39,SHORT SUBJECT (Cartoon),"Wolf Koenig and Robert Verrall, Producers",The Drag,0
1966,1967,39,SHORT SUBJECT (Cartoon),"David H. DePatie and Friz Freleng, Producers",The Pink Blueprint,0
1966,1967,39,SOUND,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",Grand Prix,1
1966,1967,39,WRITING (Screenplay--based on material from another medium),Robert Bolt,A Man for All Seasons,1
1966,1967,39,WRITING (Story and Screenplay--written directly for the screen),"Story by Michelangelo Antonioni;  Screenplay by Michelangelo Antonioni, Tonino Guerra, Edward Bond",Blow-Up,0
1966,1967,39,WRITING (Story and Screenplay--written directly for the screen),Robert Ardrey,Khartoum,0
1966,1967,39,WRITING (Story and Screenplay--written directly for the screen),"Clint Johnston, Don Peters",The Naked Prey,0
1966,1967,39,HONORARY AWARD, Y. Frank Freeman for unusual and outstanding service to the Academy during his thirty years in Hollywood.,,1
1966,1967,39,IRVING G. THALBERG MEMORIAL AWARD,Robert Wise,,1
1967,1968,40,ACTOR,Dustin Hoffman,The Graduate,0
1967,1968,40,ART DIRECTION,"Art Direction:  Mario Chiari, Jack Martin Smith, Ed Graves;  Set Decoration:  Walter M. Scott, Stuart A. Reiss",Doctor Dolittle,0
1967,1968,40,ART DIRECTION,Art Direction:  Robert Clatworthy;  Set Decoration:  Frank Tuttle,Guess Who's Coming to Dinner,0
1967,1968,40,ART DIRECTION,"Art Direction:  Alexander Golitzen, George C. Webb;  Set Decoration:  Howard Bristol",Thoroughly Modern Millie,0
1967,1968,40,CINEMATOGRAPHY,Robert Surtees,Doctor Dolittle,0
1967,1968,40,CINEMATOGRAPHY,Robert Surtees,The Graduate,0
1967,1968,40,DIRECTING,Stanley Kramer,Guess Who's Coming to Dinner,0
1967,1968,40,DOCUMENTARY (Short Subject),"Christopher Chapman, Producer",A Place to Stand,0
1967,1968,40,DOCUMENTARY (Short Subject),"Robert Fitchett, Producer",See You at the Pillar,0
1967,1968,40,FILM EDITING,Frank P. Keller,Beach Red,0
1967,1968,40,FILM EDITING,Robert C. Jones,Guess Who's Coming to Dinner,0
1967,1968,40,MUSIC (Original Music Score),Richard Rodney Bennett,Far from the Madding Crowd,0
1967,1968,40,MUSIC (Song),Music by Quincy Jones; Lyrics by Bob Russell,Banning,0
1967,1968,40,MUSIC (Song),Music by Burt Bacharach; Lyrics by Hal David,Casino Royale,0
1967,1968,40,BEST PICTURE,"Stanley Kramer, Producer",Guess Who's Coming to Dinner,0
1967,1968,40,SHORT SUBJECT (Cartoon),"Robert Verrall and Wolf Koenig, Producers",What on Earth!,0
1967,1968,40,SHORT SUBJECT (Live Action),"Christopher Chapman, Producer",A Place to Stand,1
1967,1968,40,SPECIAL VISUAL EFFECTS,"Howard A. Anderson, Jr., Albert Whitlock",Tobruk,0
1967,1968,40,WRITING (Screenplay--based on material from another medium),"Donn Pearce, Frank R. Pierson",Cool Hand Luke,0
1967,1968,40,WRITING (Story and Screenplay--written directly for the screen),"David Newman, Robert Benton",Bonnie and Clyde,0
1967,1968,40,WRITING (Story and Screenplay--written directly for the screen),Story by Robert Kaufman;  Screenplay by Norman Lear,Divorce American Style,0
1968,1969,41,ACTOR,Peter O'Toole,The Lion in Winter,0
1968,1969,41,ACTOR,Cliff Robertson,Charly,1
1968,1969,41,ART DIRECTION,"Art Direction:  Boris Leven;  Set Decoration:  Walter M. Scott, Howard Bristol",Star!,0
1968,1969,41,DIRECTING,Stanley Kubrick,2001: A Space Odyssey,0
1968,1969,41,DOCUMENTARY (Feature),"David H. Sawyer, Producer",Other Voices,0
1968,1969,41,DOCUMENTARY (Feature),"Robert Cohn and Alex Grasshoff, Producers",Young Americans,0
1968,1969,41,DOCUMENTARY (Short Subject),"Lee R. Bobker, Producer",The Revolving Door,0
1968,1969,41,FILM EDITING,Frank P. Keller,Bullitt,1
1968,1969,41,FILM EDITING,"Robert Swink, Maury Winetrobe, William Sands",Funny Girl,0
1968,1969,41,FILM EDITING,Frank Bracht,The Odd Couple,0
1968,1969,41,MUSIC (Original Score--for a motion picture [not a musical]),Michel Legrand,The Thomas Crown Affair,0
1968,1969,41,MUSIC (Score of a Musical Picture--original or adaptation),Music and adaptation score by Michel Legrand; lyrics by Jacques Demy,The Young Girls of Rochefort,0
1968,1969,41,MUSIC (Song--Original for the Picture),Music and Lyrics by Richard M. Sherman and Robert B. Sherman,Chitty Chitty Bang Bang,0
1968,1969,41,MUSIC (Song--Original for the Picture),Music by Quincy Jones; Lyrics by Bob Russell,For Love of Ivy,0
1968,1969,41,MUSIC (Song--Original for the Picture),Music by Jule Styne; Lyrics by Bob Merrill,Funny Girl,0
1968,1969,41,MUSIC (Song--Original for the Picture),Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman,The Thomas Crown Affair,1
1968,1969,41,BEST PICTURE,"Martin Poll, Producer",The Lion in Winter,0
1968,1969,41,SPECIAL VISUAL EFFECTS,Stanley Kubrick,2001: A Space Odyssey,1
1968,1969,41,WRITING (Story and Screenplay--written directly for the screen),"Ira Wallach, Peter Ustinov",Hot Millions,0
1968,1969,41,WRITING (Story and Screenplay--written directly for the screen),Mel Brooks,The Producers,1
1968,1969,41,WRITING (Story and Screenplay--written directly for the screen),"Stanley Kubrick, Arthur C. Clarke",2001: A Space Odyssey,0
1969,1970,42,ACTOR,Dustin Hoffman,Midnight Cowboy,0
1969,1970,42,ACTOR,Peter O'Toole,"Goodbye, Mr. Chips",0
1969,1970,42,ART DIRECTION,"Art Direction:  Robert Boyle, George B. Chan;  Set Decoration:  Edward Boyle, Carl Biddiscombe","Gaily, Gaily",0
1969,1970,42,ART DIRECTION,"Art Direction:  John DeCuir, Jack Martin Smith, Herman Blumenthal;  Set Decoration:  Walter M. Scott, George Hopkins, Raphael Bretton","Hello, Dolly!",1
1969,1970,42,ART DIRECTION,Art Direction:  Harry Horner;  Set Decoration:  Frank McKelvy,"They Shoot Horses, Don't They?",0
1969,1970,42,DOCUMENTARY (Feature),"Robert K. Sharpe, Producer",Before the Mountain Was Moved,0
1969,1970,42,DOCUMENTARY (Short Subject),"Denis Sanders and Robert M. Fresco, Producers",Czechoslovakia 1968,1
1969,1970,42,DOCUMENTARY (Short Subject),"Joan Horvath, Producer",Jenny Is a Good Thing,0
1969,1970,42,FILM EDITING,Hugh A. Robertson,Midnight Cowboy,0
1969,1970,42,MUSIC (Song--Original for the Picture),Music by Burt Bacharach; Lyrics by Hal David,Butch Cassidy and the Sundance Kid,1
1969,1970,42,MUSIC (Song--Original for the Picture),Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman,The Happy Ending,0
1969,1970,42,SHORT SUBJECT (Live Action),"Doug Jackson, Producer",Blake,0
1969,1970,42,SOUND,"William Edmondson, David Dockendorf",Butch Cassidy and the Sundance Kid,0
1969,1970,42,SOUND,"Robert Martin, Clem Portman","Gaily, Gaily",0
1969,1970,42,SPECIAL VISUAL EFFECTS,Robbie Robertson,Marooned,1
1969,1970,42,WRITING (Screenplay--based on material from another medium),"James Poe, Robert E. Thompson","They Shoot Horses, Don't They?",0
1969,1970,42,WRITING (Story and Screenplay--based on material not previously published or produced),"Peter Fonda, Dennis Hopper, Terry Southern",Easy Rider,0
1970,1971,43,ACTOR,Melvyn Douglas,I Never Sang for My Father,0
1970,1971,43,ACTRESS,Glenda Jackson,Women in Love,1
1970,1971,43,ACTRESS IN A SUPPORTING ROLE,Lee Grant,The Landlord,0
1970,1971,43,ART DIRECTION,"Art Direction:  Terry Marsh, Bob Cartwright;  Set Decoration:  Pamela Cornell",Scrooge,0
1970,1971,43,ART DIRECTION,"Art Direction:  Jack Martin Smith, Yoshiro Muraki, Richard Day, Taizoh Kawashima;  Set Decoration:  Walter M. Scott, Norman Rockett, Carl Biddiscombe",Tora! Tora! Tora!,0
1970,1971,43,DIRECTING,Robert Altman,M*A*S*H,0
1970,1971,43,DIRECTING,Franklin J. Schaffner,Patton,1
1970,1971,43,DOCUMENTARY (Feature),"David H. Vowell, Producer",Say Goodbye,0
1970,1971,43,DOCUMENTARY (Feature),"Bob Maurice, Producer",Woodstock,1
1970,1971,43,DOCUMENTARY (Short Subject),"Robert McBride, Producer",The Gifts,0
1970,1971,43,DOCUMENTARY (Short Subject),"Bob Aller, Producer",A Long Way from Nowhere,0
1970,1971,43,DOCUMENTARY (Short Subject),"Horst Dallmayr and Robert Menegoz, Producers",Time Is Running Out,0
